"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"399" 13 315 0.857872 0.426424 -0.049106 0.0503636 0.1 20
"342" 10 316 0.19028 0.994063 0.907972 0.193872 0.2 22
"128" 4 317 0.82528 0.229406 1.18257 0.280899 0.3 23
"388" 12 318 0.74737 0.0134022 1.36557 0.325708 0.3 25
"946" 35 319 0.136497 0.83705 -0.219874 -0.394456 -0.5 10
"301" 9 320 0.414816 0.414971 5.88983 0.683615 0.7 32
"292" 9 321 0.381032 0.457864 -0.0221229 0.645437 0.7 32
"878" 32 322 0.398819 0.995069 -0.717288 0.256781 0.3 28
"49" 2 323 0.487582 0.612284 1.11845 0.998488 1 37
"782" 29 324 0.896769 0.47977 0.317837 -0.18035 -0.2 19
"276" 8 325 0.592808 0.908286 0.249103 0.243202 0.3 24
"564" 21 326 0.625195 0.128956 0.803895 0.946996 0.9 36
"260" 8 327 0.570399 0.891296 -1.02705 0.357965 0.3 24
"824" 31 328 0.623661 0.484894 1.34164 0.811913 0.8 35
"560" 21 329 0.640871 0.129706 1.47673 0.884 0.9 36
"819" 31 330 0.627624 0.504708 -0.0147678 0.800954 0.8 35
"319" 9 331 0.424269 0.424944 -0.480168 0.746202 0.7 32
"896" 33 332 0.136694 0.64898 -0.717288 -0.392572 -0.4 14
"982" 37 333 0.058799 0.00331003 -0.470575 -0.464665 -0.5 11
"508" 19 334 0.0149108 0.129894 0.711929 -0.515294 -0.5 8
"31" 2 335 0.496941 0.587369 0.872965 1.04656 1 37
"233" 7 336 0.260754 0.00480647 0.42096 0.198366 0.2 21
"579" 21 337 0.627023 0.136739 0.831576 0.930969 0.9 36
"637" 24 338 0.198344 0.222807 -0.662001 -0.758232 -0.8 2
"632" 24 339 0.200594 0.22723 -0.778871 -0.77685 -0.8 2
"872" 32 340 0.411821 0.995419 -0.13344 0.252405 0.3 28
"20" 2 341 0.512337 0.619038 0.631957 1.01101 1 37
"618" 24 342 0.202271 0.224335 -0.677156 -0.769971 -0.8 2
"509" 19 343 0.0056986 0.159517 -0.197327 -0.492563 -0.5 8
"740" 27 344 0.943715 0.785085 0.219843 -0.789587 -0.7 4
"588" 21 345 0.634819 0.132305 0.718582 0.905449 0.9 36
"788" 29 346 0.902859 0.481422 -0.31937 -0.210999 -0.2 19
"251" 8 347 0.591954 0.909122 0.691125 0.242581 0.3 24
"581" 21 348 0.657978 0.113485 1.37511 0.824871 0.9 36
"877" 32 349 0.416926 0.96645 0.58077 0.293533 0.3 28
"924" 34 350 0.971961 0.571448 0.00589009 -0.70741 -0.7 5
"239" 7 351 0.255772 0.0096932 -0.894382 0.141661 0.2 21
"422" 14 352 0.339396 0.251222 0.746591 -0.252433 -0.2 17
"514" 19 353 0.021243 0.161363 -0.852517 -0.496091 -0.5 8
"764" 28 354 0.457432 0.802066 0.617208 0.665942 0.7 33
"983" 37 355 0.0600096 0.00448582 0.257758 -0.461262 -0.5 11
"801" 30 356 0.896357 0.0104279 -0.411932 -0.612654 -0.6 7
"557" 21 357 0.652637 0.12366 0.678791 0.841219 0.9 36
"68" 3 358 0.437919 0.0104272 0.681327 1.42653 1.6 39
"687" 25 359 0.0203178 0.971994 0.614672 -0.212368 -0.2 18
