id x y phenotype1 envi 
422 0.80418 0.419603 -0.324075 -0.0636803 
423 0.161956 0.920293 -0.794929 -0.18671 
424 0.0988098 0.177381 -0.0675774 -0.551273 
425 0.203774 0.957372 0.621664 0.0744189 
426 0.645474 0.389855 0.353642 0.596994 
427 0.967897 0.664931 -1.28259 -1.18855 
428 0.805457 0.0875079 -0.460423 -0.501393 
429 0.08757 0.98061 -0.647366 -0.411695 
430 0.214935 0.0353379 -0.892974 -0.92949 
431 0.863615 0.982342 -1.38959 -0.368259 
432 0.981756 0.666798 -1.14892 -1.2971 
433 0.243584 0.00408796 -0.709452 -1.04725 
434 0.0804781 0.1943 -0.676685 -0.522117 
435 0.0827843 0.193442 -0.676685 -0.523322 
436 0.996348 0.67442 -2.13185 -1.43961 
437 0.0888494 0.984955 -0.599589 -0.400096 
438 0.0860951 0.98142 0.398736 -0.417567 
439 0.960732 0.731905 -0.77473 -1.40029 
440 0.823707 0.596133 -0.968592 -0.0929831 
441 0.628956 0.0402837 -0.119332 0.00692232 
442 0.951784 0.228141 -2.22535 -1.26031 
443 0.808784 0.00547236 0.370422 -0.600605 
444 0.559225 0.727967 -0.214064 0.642454 
445 0.551124 0.867486 0.447112 0.49376 
446 0.411145 0.853257 -0.0756894 0.341725 
447 0.025365 0.558392 -1.08684 -0.50022 
448 0.639499 0.0304036 0.717174 -0.0604956 
449 0.455612 0.367401 -0.535038 0.91725 
450 0.170807 0.429938 -0.411199 -0.202651 
451 0.287359 0.607514 -0.00664134 0.0447401 
452 0.980287 0.000321742 -0.656486 -0.585483 
453 0.0871928 0.988292 -0.454281 -0.403655 
454 0.749326 0.673569 -0.690584 0.397732 
455 0.299144 0.608066 -0.27626 0.101172 
456 0.560378 0.719608 -0.672141 0.659207 
457 0.955216 0.23145 -0.866003 -1.29217 
458 0.278362 0.193582 0.938007 -0.352352 
459 0.545785 0.813432 0.432467 0.546462 
460 0.460371 0.354309 0.365605 0.917829 
461 0.794539 0.248316 0.233051 -0.231514 
462 0.630669 0.0160667 1.6823 -0.0559543 
463 0.501738 0.0189759 -1.51241 0.504254 
464 0.842056 0.569375 -0.195178 -0.164821 
465 0.981141 0.452743 -0.104687 -0.740963 
466 0.858441 0.292358 -0.968592 -0.583507 
467 0.469373 0.0617498 0.380292 0.406766 
468 0.146454 0.932487 0.0362087 -0.226779 
469 0.39249 0.879445 -0.171506 0.319265 
470 0.477038 0.351452 0.799754 1.0004 
471 0.0199844 0.540539 -0.794929 -0.477511 
472 0.546532 0.848426 -0.593662 0.514373 
473 0.801306 0.233908 -0.279422 -0.297454 
474 0.809389 0.401011 -0.794929 -0.11427 
475 0.961803 0.711188 -0.587805 -1.32766 
476 0.814478 0.993905 -0.866003 -0.111139 
477 0.822912 0.986828 0.329688 -0.1549 
478 0.167853 0.427214 -0.42212 -0.209492 
479 0.754066 0.732675 0.564243 0.416858 
480 0.544166 0.733287 0.50342 0.644971 
481 0.962972 0.729439 -0.892974 -1.41015 
482 0.95988 0.86917 1.2408 -1.15954 
483 0.825194 0.601023 -0.341175 -0.105252 
484 0.628296 0.0208745 0.182446 -0.034731 
485 0.803018 0.249391 0.0167613 -0.288825 
486 0.703902 0.876236 0.819763 0.371022 
487 0.0848093 0.18652 0.252177 -0.535291 
488 0.997457 0.458183 -0.892974 -0.785177 
489 0.969682 0.448215 -0.24313 -0.71103 
490 0.813616 0.409143 0.135006 -0.12241 
491 0.98696 0.748229 0.77612 -1.705 
492 0.851051 0.605972 0.805307 -0.260931 
493 0.474448 0.341655 1.45039 0.967902 
494 0.979353 0.463362 -1.61046 -0.692642 
495 0.244462 0.449224 0.300691 -0.0715234 
496 0.0190266 0.212226 0.603663 -0.506584 
497 0.661304 0.877353 0.227724 0.401934 
498 0.0824115 0.187324 -0.460395 -0.534063 
499 0.956516 0.88172 0.0560868 -1.10415 
500 0.830766 0.563933 -0.337635 -0.103125 
501 0.950796 0.138093 0.243189 -0.991198 
502 0.00133117 0.770669 -0.647366 -0.899646 
503 0.754801 0.726775 -1.47868 0.405431 
504 0.948206 0.646739 0.256911 -0.979747 
505 0.98516 0.00120403 1.14723 -0.588326 
506 0.749225 0.673268 -0.656486 0.397643 
507 0.65412 0.0027882 -0.0911548 -0.1887 
508 0.00165098 0.765701 -0.946304 -0.900855 
509 0.646481 0.386037 -0.454281 0.588356 
510 0.66956 0.876872 -0.209399 0.3962 
511 0.154403 0.408262 -1.44038 -0.245476 
512 0.486756 0.0183689 -0.0756894 0.429909 
513 0.782569 0.064071 0.897767 -0.491064 
514 0.167279 0.417588 -0.411199 -0.219556 
515 0.277015 0.584369 0.84895 0.0298808 
516 0.798753 0.00983108 0.545158 -0.594261 
517 0.214689 0.0161368 -0.689574 -0.980509 
518 0.451275 0.376998 -0.794929 0.912104 
519 0.0174008 0.194392 -0.540365 -0.530099 
520 0.751693 0.665748 -0.672141 0.376722 
521 0.966032 0.726479 -2.00906 -1.42486 
522 0.97456 0.449116 0.00689057 -0.727849 
523 0.975396 0.676297 -0.416793 -1.29141 
524 0.84014 0.573094 0.31082 -0.159438 
525 0.627573 0.035416 0.72613 0.00161073 
526 0.469948 0.343915 0.51698 0.948573 
527 0.287218 0.16179 -0.222931 -0.392752 
528 0.628508 0.0157783 1.45039 -0.0473136 
529 0.765332 0.0639332 -0.95506 -0.462278 
530 0.846721 0.27553 -0.705687 -0.542149 
531 0.796258 0.247521 0.272376 -0.24458 
532 0.804682 0.0945971 0.00689057 -0.490845 
533 0.961498 0.238198 -1.2807 -1.35438 
534 0.173426 0.427265 -0.42212 -0.201568 
535 0.939894 0.881038 -2.2299 -0.990174 
536 0.0756531 0.194906 -0.104687 -0.521705 
537 0.83733 0.993522 -0.451308 -0.226055 
538 0.984129 0.680298 -0.153063 -1.37483 
539 0.296274 0.105762 -0.676685 -0.494964 
540 0.310876 0.585893 -0.299301 0.197615 
541 0.952195 0.183929 0.0114342 -1.13211 
542 0.960173 0.726916 -1.03169 -1.37581 
543 0.746367 0.722996 -0.222111 0.447455 
544 0.796442 0.00665251 1.3478 -0.598573 
545 0.802295 0.251973 0.0415358 -0.280351 
546 0.959152 0.744211 -1.58349 -1.43439 
547 0.317533 0.126069 0.922221 -0.320988 
548 0.950152 0.16564 -1.88628 -1.06866 
549 0.806723 0.01494 -0.866003 -0.589454 
550 0.377853 0.367981 0.233051 0.504792 
551 0.354617 0.270422 0.535056 0.22193 
552 0.633744 0.032352 -0.119332 -0.0315498 
553 0.123578 0.198222 -0.504668 -0.5086 
554 0.233425 0.437188 -0.65191 -0.10394 
555 0.971771 0.207055 -1.88628 -1.31307 
556 0.804157 0.408419 -0.676685 -0.0789035 
557 0.323074 0.558733 0.569932 0.309493 
558 0.807504 0.417585 -0.0020977 -0.081685 
559 0.93846 0.169451 -0.747759 -1.02498 
560 0.988191 0.202441 -1.5612 -1.3891 
561 0.69974 0.904071 -0.749955 0.345905 
562 0.244648 0.76422 -0.553897 -0.29965 
